Grp	Gram	CodePoint	CodepointMSB	isBMP	isBaseForm	isDefined	isDigit	isISOControl	isIdentifierIgnorable	isJavaIdentifierPart	isJavaIdentifierStart	isJavaLetter	isJavaLetterOrDigit	isLegal	isLetter	isLetterOrDigit	isLowerCase	isMirrored	isPrintable	isSpace	isSpaceChar	isSupplementary	isTitleCase	isUAlphabetic	isULowercase	isUUppercase	isUWhiteSpace	isUnicodeIdentifierPart	isUnicodeIdentifierStart	isUpperCase	isWhitespace	isSupplementaryCodePoint	isValidCodePoint	charCount	digit	BidiPairedBracket	CombiningClass	Direction	HanNumericValue	IntPropertyMaxValue	IntPropertyMinValue	Mirror	NumericValue	Type	toLowerCase	toTitleCase	toUpperCase	ExtendedName	ISOComment	Name	Name1_0	NameAlias	UnicodeNumericValue	Directionality
1	Ĭ	300	9	true	true	true	false	false	false	true	true	true	true	true	true	true	false	false	true	false	false	false	false	true	false	true	false	true	true	true	false	0	-1.23456789E8	1	-1	300	0	0	-1	-1	0	300	-1	1	301	300	300	LATIN CAPITAL LETTER I WITH BREVE	null	LATIN CAPITAL LETTER I WITH BREVE	null	-	false	true
2	ĭ	301	9	true	true	true	false	false	false	true	true	true	true	true	true	true	true	false	true	false	false	false	false	true	true	false	false	true	true	false	false	0	-1.23456789E8	1	-1	301	0	0	-1	-1	0	301	-1	2	301	300	300	LATIN SMALL LETTER I WITH BREVE	null	LATIN SMALL LETTER I WITH BREVE	null	-	false	true
3	Į	302	9	true	true	true	false	false	false	true	true	true	true	true	true	true	false	false	true	false	false	false	false	true	false	true	false	true	true	true	false	0	-1.23456789E8	1	-1	302	0	0	-1	-1	0	302	-1	1	303	302	302	LATIN CAPITAL LETTER I WITH OGONEK	null	LATIN CAPITAL LETTER I WITH OGONEK	null	-	false	true
4	į	303	9	true	true	true	false	false	false	true	true	true	true	true	true	true	true	false	true	false	false	false	false	true	true	false	false	true	true	false	false	0	-1.23456789E8	1	-1	303	0	0	-1	-1	0	303	-1	2	303	302	302	LATIN SMALL LETTER I WITH OGONEK	null	LATIN SMALL LETTER I WITH OGONEK	null	-	false	true
5	İ	304	9	true	true	true	false	false	false	true	true	true	true	true	true	true	false	false	true	false	false	false	false	true	false	true	false	true	true	true	false	0	-1.23456789E8	1	-1	304	0	0	-1	-1	0	304	-1	1	105	304	304	LATIN CAPITAL LETTER I WITH DOT ABOVE	null	LATIN CAPITAL LETTER I WITH DOT ABOVE	null	-	false	true
6	ı	305	9	true	true	true	false	false	false	true	true	true	true	true	true	true	true	false	true	false	false	false	false	true	true	false	false	true	true	false	false	0	-1.23456789E8	1	-1	305	0	0	-1	-1	0	305	-1	2	305	73	73	LATIN SMALL LETTER DOTLESS I	null	LATIN SMALL LETTER DOTLESS I	null	-	false	true
7	Ĳ	306	9	true	true	true	false	false	false	true	true	true	true	true	true	true	false	false	true	false	false	false	false	true	false	true	false	true	true	true	false	0	-1.23456789E8	1	-1	306	0	0	-1	-1	0	306	-1	1	307	306	306	LATIN CAPITAL LIGATURE IJ	null	LATIN CAPITAL LIGATURE IJ	null	-	false	true
8	ĳ	307	9	true	true	true	false	false	false	true	true	true	true	true	true	true	true	false	true	false	false	false	false	true	true	false	false	true	true	false	false	0	-1.23456789E8	1	-1	307	0	0	-1	-1	0	307	-1	2	307	306	306	LATIN SMALL LIGATURE IJ	null	LATIN SMALL LIGATURE IJ	null	-	false	true
9	Ĵ	308	9	true	true	true	false	false	false	true	true	true	true	true	true	true	false	false	true	false	false	false	false	true	false	true	false	true	true	true	false	0	-1.23456789E8	1	-1	308	0	0	-1	-1	0	308	-1	1	309	308	308	LATIN CAPITAL LETTER J WITH CIRCUMFLEX	null	LATIN CAPITAL LETTER J WITH CIRCUMFLEX	null	-	false	true
10	ĵ	309	9	true	true	true	false	false	false	true	true	true	true	true	true	true	true	false	true	false	false	false	false	true	true	false	false	true	true	false	false	0	-1.23456789E8	1	-1	309	0	0	-1	-1	0	309	-1	2	309	308	308	LATIN SMALL LETTER J WITH CIRCUMFLEX	null	LATIN SMALL LETTER J WITH CIRCUMFLEX	null	-	false	true
