localeName	displayName	displayNameWithDialect	patternClass	unicodeStartEnd	codePointStartEnd
ja_JP	日本語(日本)	日本語(日本)	[[:Kana:]+[:Hira:]+[:Hani:]]	\u2E80-\u2E99	11904-11929
ja_JP	日本語(日本)	日本語(日本)	[[:Kana:]+[:Hira:]+[:Hani:]]	\u2E9B-\u2EF3	11931-12019
ja_JP	日本語(日本)	日本語(日本)	[[:Kana:]+[:Hira:]+[:Hani:]]	\u2F00-\u2FD5	12032-12245
ja_JP	日本語(日本)	日本語(日本)	[[:Kana:]+[:Hira:]+[:Hani:]]	\u3005-\u3005	12293-12293
ja_JP	日本語(日本)	日本語(日本)	[[:Kana:]+[:Hira:]+[:Hani:]]	\u3007-\u3007	12295-12295
ja_JP	日本語(日本)	日本語(日本)	[[:Kana:]+[:Hira:]+[:Hani:]]	\u3021-\u3029	12321-12329
ja_JP	日本語(日本)	日本語(日本)	[[:Kana:]+[:Hira:]+[:Hani:]]	\u3038-\u303B	12344-12347
ja_JP	日本語(日本)	日本語(日本)	[[:Kana:]+[:Hira:]+[:Hani:]]	\u3041-\u3096	12353-12438
ja_JP	日本語(日本)	日本語(日本)	[[:Kana:]+[:Hira:]+[:Hani:]]	\u309D-\u309F	12445-12447
ja_JP	日本語(日本)	日本語(日本)	[[:Kana:]+[:Hira:]+[:Hani:]]	\u30A1-\u30FA	12449-12538
ja_JP	日本語(日本)	日本語(日本)	[[:Kana:]+[:Hira:]+[:Hani:]]	\u30FD-\u30FF	12541-12543
ja_JP	日本語(日本)	日本語(日本)	[[:Kana:]+[:Hira:]+[:Hani:]]	\u31F0-\u31FF	12784-12799
ja_JP	日本語(日本)	日本語(日本)	[[:Kana:]+[:Hira:]+[:Hani:]]	\u32D0-\u32FE	13008-13054
ja_JP	日本語(日本)	日本語(日本)	[[:Kana:]+[:Hira:]+[:Hani:]]	\u3300-\u3357	13056-13143
ja_JP	日本語(日本)	日本語(日本)	[[:Kana:]+[:Hira:]+[:Hani:]]	\u3400-\u4DBF	13312-19903
ja_JP	日本語(日本)	日本語(日本)	[[:Kana:]+[:Hira:]+[:Hani:]]	\u4E00-\u9FFC	19968-40956
ja_JP	日本語(日本)	日本語(日本)	[[:Kana:]+[:Hira:]+[:Hani:]]	\uF900-\uFA6D	63744-64109
ja_JP	日本語(日本)	日本語(日本)	[[:Kana:]+[:Hira:]+[:Hani:]]	\uFA70-\uFAD9	64112-64217
ja_JP	日本語(日本)	日本語(日本)	[[:Kana:]+[:Hira:]+[:Hani:]]	\uFF66-\uFF6F	65382-65391
ja_JP	日本語(日本)	日本語(日本)	[[:Kana:]+[:Hira:]+[:Hani:]]	\uFF71-\uFF9D	65393-65437
ja_JP	日本語(日本)	日本語(日本)	[[:Kana:]+[:Hira:]+[:Hani:]]	\U00016FF0-\U00016FF0	94192-94192
ja_JP	日本語(日本)	日本語(日本)	[[:Kana:]+[:Hira:]+[:Hani:]]	\U00016FF1-\U00016FF1	94193-94193
ja_JP	日本語(日本)	日本語(日本)	[[:Kana:]+[:Hira:]+[:Hani:]]	\U0001B000-\U0001B11E	110592-110878
ja_JP	日本語(日本)	日本語(日本)	[[:Kana:]+[:Hira:]+[:Hani:]]	\U0001B150-\U0001B152	110928-110930
ja_JP	日本語(日本)	日本語(日本)	[[:Kana:]+[:Hira:]+[:Hani:]]	\U0001B164-\U0001B167	110948-110951
ja_JP	日本語(日本)	日本語(日本)	[[:Kana:]+[:Hira:]+[:Hani:]]	\U0001F200-\U0001F200	127488-127488
ja_JP	日本語(日本)	日本語(日本)	[[:Kana:]+[:Hira:]+[:Hani:]]	\U00020000-\U0002A6DD	131072-173789
ja_JP	日本語(日本)	日本語(日本)	[[:Kana:]+[:Hira:]+[:Hani:]]	\U0002A700-\U0002B734	173824-177972
ja_JP	日本語(日本)	日本語(日本)	[[:Kana:]+[:Hira:]+[:Hani:]]	\U0002B740-\U0002B81D	177984-178205
ja_JP	日本語(日本)	日本語(日本)	[[:Kana:]+[:Hira:]+[:Hani:]]	\U0002B820-\U0002CEA1	178208-183969
ja_JP	日本語(日本)	日本語(日本)	[[:Kana:]+[:Hira:]+[:Hani:]]	\U0002CEB0-\U0002EBE0	183984-191456
ja_JP	日本語(日本)	日本語(日本)	[[:Kana:]+[:Hira:]+[:Hani:]]	\U0002F800-\U0002FA1D	194560-195101
ja_JP	日本語(日本)	日本語(日本)	[[:Kana:]+[:Hira:]+[:Hani:]]	\U00030000-\U0003134A	196608-201546
